ticker,cik,target_fiscal_period,actual_revenue_usd_m,actual_publication_date,source
AMD,0000002488,FY2024Q1,5470.0,2024-04-30,seed
AMD,0000002488,FY2024Q2,5830.0,2024-07-30,seed
AMD,0000002488,FY2024Q3,6810.0,2024-10-29,seed
AMD,0000002488,FY2024Q4,7660.0,2025-02-04,seed
INTC,0000050863,FY2024Q1,12700.0,2024-04-25,seed
INTC,0000050863,FY2024Q2,12830.0,2024-08-01,seed
INTC,0000050863,FY2024Q3,13280.0,2024-10-31,seed
INTC,0000050863,FY2024Q4,14300.0,2025-01-30,seed
NVDA,0001045810,FY2025Q1,26040.0,2024-05-22,seed
NVDA,0001045810,FY2025Q2,30040.0,2024-08-28,seed
NVDA,0001045810,FY2025Q3,35080.0,2024-11-20,seed
NVDA,0001045810,FY2025Q4,39330.0,2025-02-26,seed
